Date,Equity,Cash,Positions
2016-12-20,1000000.0,1000000.0,0
2016-12-21,1000000.0,1000000.0,0
2016-12-22,1000000.0,1000000.0,0
2016-12-23,1000000.0,1000000.0,0
2016-12-26,1000000.0,1000000.0,0
2016-12-27,1000000.0,1000000.0,0
2016-12-28,1000000.0,1000000.0,0
2016-12-29,1000000.0,1000000.0,0
2016-12-30,1000000.0,1000000.0,0
2017-01-02,1000000.0,1000000.0,0
2017-01-03,1000000.0,1000000.0,0
2017-01-04,1000000.0,1000000.0,0
2017-01-05,1000000.0,1000000.0,0
2017-01-06,1000000.0,1000000.0,0
2017-01-09,1000000.0,1000000.0,0
2017-01-10,1000000.0,1000000.0,0
2017-01-11,1000000.0,1000000.0,0
2017-01-12,1000000.0,1000000.0,0
2017-01-13,1000000.0,1000000.0,0
2017-01-16,1000000.0,1000000.0,0
2017-01-17,1000000.0,1000000.0,0
2017-01-18,1000000.0,1000000.0,0
2017-01-19,1000000.0,1000000.0,0
2017-01-20,1000000.0,1000000.0,0
2017-01-23,1000000.0,1000000.0,0
2017-01-24,1000000.0,1000000.0,0
2017-01-25,1000000.0,1000000.0,0
2017-01-26,1000000.0,1000000.0,0
2017-01-27,1000000.0,1000000.0,0
2017-01-30,1000000.0,1000000.0,0
2017-01-31,1000000.0,1000000.0,0
2017-02-01,1000000.0,1000000.0,0
2017-02-02,1000000.0,1000000.0,0
2017-02-03,1000000.0,1000000.0,0
2017-02-06,1000000.0,1000000.0,0
2017-02-07,1000000.0,1000000.0,0
2017-02-08,1000000.0,1000000.0,0
2017-02-09,1000000.0,1000000.0,0
2017-02-10,1000000.0,1000000.0,0
2017-02-13,1000000.0,1000000.0,0
2017-02-14,1000000.0,1000000.0,0
2017-02-15,1000000.0,1000000.0,0
2017-02-16,1000000.0,1000000.0,0
2017-02-17,1000000.0,1000000.0,0
2017-02-20,1000000.0,1000000.0,0
2017-02-21,1000000.0,1000000.0,0
2017-02-22,1000000.0,1000000.0,0
2017-02-23,1000000.0,1000000.0,0
2017-02-24,1000000.0,1000000.0,0
2017-02-27,1000000.0,1000000.0,0
2017-02-28,1000000.0,1000000.0,0
2017-03-01,1000000.0,1000000.0,0
2017-03-02,1000000.0,1000000.0,0
2017-03-03,1000000.0,1000000.0,0
2017-03-06,1000000.0,1000000.0,0
2017-03-07,1000000.0,1000000.0,0
2017-03-08,1000000.0,1000000.0,0
2017-03-09,1000000.0,1000000.0,0
2017-03-10,1000000.0,1000000.0,0
2017-03-13,1000000.0,1000000.0,0
2017-03-14,1000000.0,1000000.0,0
2017-03-15,1000000.0,1000000.0,0
2017-03-16,1000000.0,1000000.0,0
2017-03-17,1000000.0,1000000.0,0
2017-03-20,1000000.0,1000000.0,0
2017-03-21,1000000.0,1000000.0,0
2017-03-22,1000000.0,1000000.0,0
2017-03-23,1000000.0,1000000.0,0
2017-03-24,1000000.0,1000000.0,0
2017-03-27,1000000.0,1000000.0,0
2017-03-28,1000000.0,1000000.0,0
2017-03-29,1000000.0,1000000.0,0
2017-03-30,1000000.0,1000000.0,0
2017-03-31,1000000.0,1000000.0,0
2017-04-03,1000000.0,1000000.0,0
2017-04-04,1000000.0,1000000.0,0
2017-04-05,1000000.0,1000000.0,0
2017-04-06,1000000.0,1000000.0,0
2017-04-07,1000000.0,1000000.0,0
2017-04-10,1000000.0,1000000.0,0
