Date,ULTRACEMCO.NS
2025-02-03,11104.263671875
2025-02-04,11446.59375
2025-02-05,11512.724609375
2025-02-06,11405.056640625
2025-02-07,11567.2783203125
2025-02-10,11459.66015625
2025-02-11,11229.0224609375
2025-02-12,11406.19921875
2025-02-13,11473.7216796875
2025-02-14,11192.9013671875
2025-02-17,11417.7255859375
2025-02-18,11237.66796875
2025-02-19,11220.4267578125
2025-02-20,11216.501953125
2025-02-21,11086.97265625
2025-02-24,10973.0947265625
2025-02-25,10895.08984375
2025-02-27,10381.8427734375
2025-02-28,10064.6533203125
2025-03-03,10275.6650390625
2025-03-04,10304.7802734375
2025-03-05,10398.2880859375
2025-03-06,10427.4033203125
2025-03-07,10515.744140625
2025-03-10,10453.8359375
2025-03-11,10373.4951171875
2025-03-12,10454.134765625
2025-03-13,10386.263671875
2025-03-17,10480.666015625
2025-03-18,10480.666015625
2025-03-19,10864.3837890625
2025-03-20,10879.1904296875
2025-03-21,10907.609375
2025-03-24,10981.5908203125
2025-03-25,11349.2607421875
2025-03-26,11330.2802734375
2025-03-27,11526.5361328125
2025-03-28,11437.0537109375
2025-04-01,11306.978515625
2025-04-02,11180.0830078125
2025-04-03,11533.4921875
2025-04-04,11426.22265625
2025-04-07,11121.1064453125
2025-04-08,11199.4599609375
2025-04-09,11325.2626953125
2025-04-11,11430.197265625
2025-04-15,11645.1845703125
2025-04-16,11654.1279296875
2025-04-17,11826.0380859375
2025-04-21,11858.830078125
2025-04-22,11883.6728515625
2025-04-23,11873.736328125
2025-04-24,12082.4130859375
2025-04-25,12159.921875
2025-04-28,12037.6962890625
2025-04-29,11794.240234375
2025-04-30,11567.67578125
2025-05-02,11539.8525390625
2025-05-05,11596.4931640625
2025-05-06,11619.3486328125
2025-05-07,11584.568359375
2025-05-08,11557.7392578125
2025-05-09,11292.4208984375
2025-05-12,11662.0771484375
2025-05-13,11587.5498046875
2025-05-14,11598.48046875
2025-05-15,11819.08203125
2025-05-16,11830.0126953125
2025-05-19,11853.8623046875
2025-05-20,11623.3232421875
2025-05-21,11592.5185546875
2025-05-22,11606.4306640625
2025-05-23,11672.0146484375
2025-05-26,11615.3740234375
2025-05-27,11349.0615234375
2025-05-28,11167.2138671875
2025-05-29,11198.01953125
2025-05-30,11139.390625
2025-06-02,11124.4853515625
2025-06-03,10965.4931640625
2025-06-04,10963.505859375
2025-06-05,11088.7119140625
2025-06-06,11182.1201171875
2025-06-09,11189.076171875
2025-06-10,11319.2509765625
2025-06-11,11391.791015625
2025-06-12,11251.6787109375
2025-06-13,11153.302734375
2025-06-16,11422.595703125
2025-06-17,11311.30078125
2025-06-18,11334.15625
2025-06-19,11348.068359375
2025-06-20,11385.828125
2025-06-23,11376.8857421875
2025-06-24,11506.06640625
2025-06-25,11659.0966796875
2025-06-26,11875.7236328125
2025-06-27,12136.0732421875
2025-06-30,12016.8291015625
2025-07-01,12133.091796875
2025-07-02,12357.66796875
2025-07-03,12319.908203125
2025-07-04,12427.2275390625
2025-07-07,12267.2412109375
2025-07-08,12366.611328125
2025-07-09,12482.875
2025-07-10,12437.1640625
2025-07-11,12416.296875
2025-07-14,12437.1640625
2025-07-15,12423.2529296875
2025-07-16,12374.5615234375
2025-07-17,12416.296875
2025-07-18,12419.2783203125
2025-07-21,12497.7802734375
2025-07-22,12373.5673828125
2025-07-23,12294.0712890625
2025-07-24,12226.5
2025-07-25,12250.0
2025-07-28,12240.0
2025-07-29,12221.0
2025-07-30,12268.0
2025-07-31,12249.0
2025-08-01,12113.0
2025-08-04,12257.0
2025-08-05,12298.0
2025-08-06,12226.0
2025-08-07,12273.0
2025-08-08,12157.0
2025-08-11,12405.0
2025-08-12,12449.0
2025-08-13,12401.0
2025-08-14,12317.0
2025-08-18,12765.0
2025-08-19,12863.0
2025-08-20,12874.0
2025-08-21,12870.0
2025-08-22,12589.0
2025-08-25,12606.0
2025-08-26,12610.0
2025-08-28,12521.0
2025-08-29,12640.0
2025-09-01,12826.0
2025-09-02,12730.0
2025-09-03,12733.0
2025-09-04,12651.0
2025-09-05,12601.0
2025-09-08,12664.0
2025-09-09,12572.0
2025-09-10,12478.0
2025-09-11,12392.0
2025-09-12,12370.0
2025-09-15,12435.0
2025-09-16,12578.0
2025-09-17,12721.0
2025-09-18,12626.0
2025-09-19,12508.0
2025-09-22,12650.0
2025-09-23,12401.0
2025-09-24,12214.0
2025-09-25,12141.0
2025-09-26,12070.0
2025-09-29,12041.0
2025-09-30,12222.0
2025-10-01,12095.0
2025-10-03,12019.0
2025-10-06,12055.0
2025-10-07,12184.0
2025-10-08,11991.0
2025-10-09,12192.0
2025-10-10,12281.0
2025-10-13,12172.0
2025-10-14,12070.0
2025-10-15,12311.0
2025-10-16,12358.0
2025-10-17,12370.0
2025-10-20,12346.0
2025-10-21,12342.0
2025-10-23,12145.0
2025-10-24,11918.0
2025-10-27,12015.0
2025-10-28,11931.0
2025-10-29,11999.0
2025-10-30,12053.0
2025-10-31,11947.0
2025-11-03,11950.0
2025-11-04,11819.0
2025-11-06,11910.0
2025-11-07,11849.0
2025-11-10,11728.0
2025-11-11,11825.0
2025-11-12,11921.0
2025-11-13,11934.0
2025-11-14,11874.0
2025-11-17,11778.0
2025-11-18,11707.0
2025-11-19,11666.0
2025-11-20,11753.0
2025-11-21,11729.0
2025-11-24,11584.0
2025-11-25,11580.0
2025-11-26,11759.0
2025-11-27,11617.0
2025-11-28,11600.0
2025-12-01,11662.0
2025-12-02,11666.0
2025-12-03,11591.0
2025-12-04,11608.0
2025-12-05,11597.0
2025-12-08,11540.0
2025-12-09,11414.0
2025-12-10,11317.0
2025-12-11,11472.0
2025-12-12,11723.0
2025-12-15,11728.0
2025-12-16,11528.0
2025-12-17,11540.0
2025-12-18,11461.0
2025-12-19,11496.0
2025-12-22,11532.0
2025-12-23,11678.0
2025-12-24,11764.0
2025-12-26,11794.0
2025-12-29,11799.0
2025-12-30,11705.0
2025-12-31,11784.0
2026-01-01,11901.0
2026-01-02,11899.0
2026-01-05,12087.0
2026-01-06,12204.0
2026-01-07,12184.0
2026-01-08,12064.0
2026-01-09,11937.0
2026-01-12,12098.0
2026-01-13,12044.0
2026-01-14,12255.0
2026-01-15,12255.0
2026-01-16,12378.0
2026-01-19,12297.0
2026-01-20,12059.0
2026-01-21,12231.0
2026-01-22,12364.0
2026-01-23,12369.0
2026-01-27,12589.0
2026-01-28,12767.0
2026-01-29,12717.0
2026-01-30,12694.0
2026-02-02,12535.0
2026-02-03,12590.0
2026-02-04,12806.0
2026-02-05,12773.0
2026-02-06,12722.0
2026-02-09,13048.0
2026-02-10,13023.0
2026-02-11,12969.0
2026-02-12,13029.0
2026-02-13,12963.0
2026-02-16,12981.0
2026-02-17,12984.0
2026-02-18,13052.0
2026-02-19,12688.0
2026-02-20,12766.0
2026-02-23,12976.0
2026-02-24,12960.0
2026-02-25,13041.0
2026-02-26,12937.0
2026-02-27,12677.0
2026-03-02,12521.0
2026-03-04,12107.0
2026-03-05,12288.0
2026-03-06,11987.0
2026-03-09,11378.0
2026-03-10,11654.0
2026-03-11,11462.0
2026-03-12,11089.0
2026-03-13,10616.0
2026-03-16,11099.0
2026-03-17,11116.0
2026-03-18,11247.0
2026-03-19,10814.0
2026-03-20,10934.0
2026-03-23,10362.0
2026-03-24,10764.0
2026-03-25,11204.0
2026-03-27,11049.0
2026-03-30,10745.0
2026-04-01,10714.0
2026-04-02,10620.0
2026-04-06,10955.0
2026-04-07,10936.0
2026-04-08,11603.0
2026-04-09,11448.0
2026-04-10,11589.0
2026-04-13,11502.0
2026-04-15,11785.0
2026-04-16,11826.0
2026-04-17,11886.0
2026-04-20,11917.0
2026-04-21,12039.0
2026-04-22,12193.0
2026-04-23,12167.0
2026-04-24,11998.0
2026-04-27,12010.0
2026-04-28,11817.0
2026-04-29,11833.0
2026-04-30,11586.0
2026-05-01,11586.0
2026-05-04,11758.0
2026-05-05,11963.0
2026-05-06,12093.0
2026-05-07,12146.0
2026-05-08,11950.0
2026-05-11,11866.0
2026-05-12,
