Date,ONGC.NS
2025-09-30,228.3969268798828
2025-10-01,231.77279663085938
2025-10-03,232.36407470703125
2025-10-06,234.46206665039062
2025-10-07,233.94711303710938
2025-10-08,230.59982299804688
2025-10-09,232.10658264160156
2025-10-10,234.91981506347656
2025-10-13,232.7741241455078
2025-10-14,233.3463134765625
2025-10-15,236.23585510253906
2025-10-16,236.83663940429688
2025-10-17,236.20724487304688
2025-10-20,237.2085723876953
2025-10-21,236.61729431152344
2025-10-23,240.61305236816406
2025-10-24,243.1402130126953
2025-10-27,241.52854919433594
2025-10-28,238.92510986328125
2025-10-29,243.78866577148438
2025-10-30,242.73013305664062
2025-10-31,243.53118896484375
2025-11-03,245.61012268066406
2025-11-04,240.6511993408203
2025-11-06,239.84060668945312
2025-11-07,240.50816345214844
2025-11-10,239.7452392578125
2025-11-11,237.88563537597656
2025-11-12,242.0816650390625
2025-11-13,239.2207489013672
2025-11-14,241.9075164794922
2025-11-17,242.34716796875
2025-11-18,241.2724609375
2025-11-19,243.27532958984375
2025-11-20,242.34716796875
2025-11-21,241.2724609375
2025-11-24,240.1000518798828
2025-11-25,239.70925903320312
2025-11-26,242.00521850585938
2025-11-27,238.39028930664062
2025-11-28,237.65753173828125
2025-12-01,239.20120239257812
2025-12-02,237.94085693359375
2025-12-03,234.5017852783203
2025-12-04,236.6609649658203
2025-12-05,235.6839599609375
2025-12-08,233.03627014160156
2025-12-09,234.325927734375
2025-12-10,233.78855895996094
2025-12-11,232.92880249023438
2025-12-12,232.5477752685547
2025-12-15,229.9391632080078
2025-12-16,226.87135314941406
2025-12-17,227.5552520751953
2025-12-18,226.66616821289062
2025-12-19,227.53570556640625
2025-12-22,228.79605102539062
2025-12-23,230.07594299316406
2025-12-24,228.39547729492188
2025-12-26,229.13800048828125
2025-12-29,229.4213409423828
2025-12-30,229.2845458984375
2025-12-31,234.853515625
2026-01-01,232.4696044921875
2026-01-02,235.90869140625
2026-01-05,232.61614990234375
2026-01-06,236.32879638671875
2026-01-07,233.56385803222656
2026-01-08,226.09950256347656
2026-01-09,228.70811462402344
2026-01-12,230.29087829589844
2026-01-13,238.1753387451172
2026-01-14,242.5230255126953
2026-01-15,242.5230255126953
2026-01-16,241.48739624023438
2026-01-19,237.520751953125
2026-01-20,234.86328125
2026-01-21,236.79776000976562
2026-01-22,238.40005493164062
2026-01-23,239.8264923095703
2026-01-27,242.2494659423828
2026-01-28,262.4051513671875
2026-01-29,269.0586242675781
2026-01-30,262.77642822265625
2026-02-02,248.1115264892578
2026-02-03,251.09140014648438
2026-02-04,260.8126525878906
2026-02-05,263.01092529296875
2026-02-06,262.7666931152344
2026-02-09,260.470703125
2026-02-10,265.8930969238281
2026-02-11,268.2867736816406
2026-02-12,269.9965515136719
2026-02-13,261.2522888183594
2026-02-16,265.306884765625
2026-02-17,265.6000061035156
2026-02-18,264.6000061035156
2026-02-19,274.6499938964844
2026-02-20,278.6499938964844
2026-02-23,275.6499938964844
2026-02-24,276.5
2026-02-25,277.45001220703125
2026-02-26,280.1000061035156
2026-02-27,279.70001220703125
2026-03-02,282.20001220703125
2026-03-04,276.95001220703125
2026-03-05,276.3500061035156
2026-03-06,278.95001220703125
2026-03-09,270.79998779296875
2026-03-10,269.20001220703125
2026-03-11,270.75
2026-03-12,270.54998779296875
2026-03-13,264.1000061035156
2026-03-16,260.45001220703125
2026-03-17,264.75
2026-03-18,265.0
2026-03-19,269.1000061035156
2026-03-20,265.3999938964844
2026-03-23,265.45001220703125
2026-03-24,268.04998779296875
2026-03-25,270.20001220703125
2026-03-27,281.95001220703125
2026-03-30,284.6499938964844
2026-04-01,288.04998779296875
2026-04-02,287.20001220703125
2026-04-06,281.8500061035156
2026-04-07,286.6499938964844
2026-04-08,285.5
2026-04-09,288.6000061035156
2026-04-10,286.5
2026-04-13,287.54998779296875
2026-04-15,287.6000061035156
2026-04-16,282.75
2026-04-17,284.04998779296875
2026-04-20,283.3500061035156
2026-04-21,283.1000061035156
2026-04-22,283.6499938964844
2026-04-23,286.25
2026-04-24,284.79998779296875
2026-04-27,285.8999938964844
2026-04-28,301.29998779296875
2026-04-29,301.3999938964844
2026-04-30,299.54998779296875
2026-05-01,299.54998779296875
2026-05-04,292.8999938964844
2026-05-05,289.95001220703125
2026-05-06,280.79998779296875
2026-05-07,283.8999938964844
2026-05-08,279.20001220703125
2026-05-11,281.0
2026-05-12,294.5
2026-05-13,297.1499938964844
2026-05-14,300.8999938964844
2026-05-15,299.3500061035156
2026-05-18,297.20001220703125
2026-05-19,296.5
2026-05-20,298.29998779296875
2026-05-21,295.8500061035156
2026-05-22,290.0
2026-05-25,284.95001220703125
2026-05-26,287.5
2026-05-27,274.04998779296875
2026-05-28,274.04998779296875
2026-05-29,265.3999938964844
2026-06-01,264.29998779296875
2026-06-02,265.04998779296875
2026-06-03,267.75
2026-06-04,267.54998779296875
