Date,HCLTECH.NS
2026-01-14,1625.38232421875
2026-01-15,1625.38232421875
2026-01-16,1666.1026611328125
2026-01-19,1684.549560546875
2026-01-20,1655.603759765625
2026-01-21,1650.893798828125
2026-01-22,1671.1068115234375
2026-01-23,1674.93359375
2026-01-27,1687.8856201171875
2026-01-28,1697.1090087890625
2026-01-29,1689.25927734375
2026-01-30,1663.7476806640625
2026-02-02,1645.3009033203125
2026-02-03,1663.4534912109375
2026-02-04,1591.3341064453125
2026-02-05,1579.7557373046875
2026-02-06,1563.761962890625
2026-02-09,1571.906005859375
2026-02-10,1543.5489501953125
2026-02-11,1522.4527587890625
2026-02-12,1448.37109375
2026-02-13,1427.8636474609375
2026-02-16,1434.33984375
2026-02-17,1454.7490234375
2026-02-18,1439.6383056640625
2026-02-19,1423.1539306640625
2026-02-20,1409.5150146484375
2026-02-23,1399.408447265625
2026-02-24,1314.042724609375
2026-02-25,1352.3101806640625
2026-02-26,1347.698486328125
2026-02-27,1363.00537109375
2026-03-02,1345.2454833984375
2026-03-04,1338.376953125
2026-03-05,1328.662841796875
2026-03-06,1331.2139892578125
2026-03-09,1333.078369140625
2026-03-10,1335.9239501953125
2026-03-11,1324.934326171875
2026-03-12,1332.5877685546875
2026-03-13,1300.5020751953125
2026-03-16,1303.6419677734375
2026-03-17,1296.2828369140625
2026-03-18,1331.70458984375
2026-03-19,1287.1575927734375
2026-03-20,1308.6461181640625
2026-03-23,1333.078369140625
2026-03-24,1347.5023193359375
2026-03-25,1355.35205078125
2026-03-27,1338.7694091796875
2026-03-30,1316.397705078125
2026-04-01,1328.957275390625
2026-04-02,1375.8592529296875
2026-04-06,1376.938720703125
2026-04-07,1414.5191650390625
2026-04-08,1433.5548095703125
2026-04-09,1437.3814697265625
2026-04-10,1423.9388427734375
2026-04-13,1402.5484619140625
2026-04-15,1424.0369873046875
2026-04-16,1422.9576416015625
2026-04-17,1415.2060546875
2026-04-20,1401.4691162109375
2026-04-21,1414.126708984375
2026-04-22,1261.1553955078125
2026-04-23,1253.5999755859375
2026-04-24,1203.199951171875
2026-04-27,1228.199951171875
2026-04-28,1196.0
2026-04-29,1200.199951171875
2026-04-30,1199.0999755859375
2026-05-01,1199.0999755859375
2026-05-04,1200.5
2026-05-05,1200.199951171875
2026-05-06,1189.0999755859375
2026-05-07,1183.4000244140625
2026-05-08,1198.4000244140625
2026-05-11,1194.9000244140625
2026-05-12,
