Date,MARUTI.NS
2026-02-18,15164.0
2026-02-19,14903.0
2026-02-20,14977.0
2026-02-23,15072.0
2026-02-24,14926.0
2026-02-25,15070.0
2026-02-26,15213.0
2026-02-27,14857.0
2026-03-02,14388.0
2026-03-04,14158.0
2026-03-05,14415.0
2026-03-06,14159.0
2026-03-09,13508.0
2026-03-10,13867.0
2026-03-11,13497.0
2026-03-12,13011.0
2026-03-13,12591.0
2026-03-16,12757.0
2026-03-17,12972.0
2026-03-18,13048.0
2026-03-19,12599.0
2026-03-20,12601.0
2026-03-23,12355.0
2026-03-24,12464.0
2026-03-25,12711.0
2026-03-27,12389.0
2026-03-30,12306.0
2026-04-01,12509.0
2026-04-02,12631.0
2026-04-06,12688.0
2026-04-07,12798.0
2026-04-08,13602.0
2026-04-09,13589.0
2026-04-10,13709.0
2026-04-13,13076.0
2026-04-15,13289.0
2026-04-16,13335.0
2026-04-17,13453.0
2026-04-20,13450.0
2026-04-21,13461.0
2026-04-22,13337.0
2026-04-23,13160.0
2026-04-24,13048.0
2026-04-27,13222.0
2026-04-28,12892.0
2026-04-29,13257.0
2026-04-30,13314.0
2026-05-01,13314.0
2026-05-04,13580.0
2026-05-05,13426.0
2026-05-06,13722.0
2026-05-07,13770.0
2026-05-08,13726.0
2026-05-11,13483.0
2026-05-12,13172.0
2026-05-13,13103.0
2026-05-14,13075.0
2026-05-15,13221.0
2026-05-18,13016.0
2026-05-19,12956.0
2026-05-20,13003.0
2026-05-21,13010.0
2026-05-22,12987.0
2026-05-25,13170.0
2026-05-26,13208.0
2026-05-27,13364.0
2026-05-28,13364.0
2026-05-29,13127.0
2026-06-01,12946.0
2026-06-02,13022.0
